,Title,Published_date,Views,Likes,Comments,VIDEO_ID
65,Leg Workout @Danny's Gym,2022-12-13T07:50:14Z,109973,8272,412,PcHjHQFeiBE
66,Arm Workout @Danny's Gym,2022-12-10T05:59:17Z,171151,10123,392,gyZ44uov6_M
67,Chest & Back,2022-12-07T05:59:48Z,249388,13048,507,Wh3lk_9ZTZ4
68,The Duo,2022-12-04T05:59:53Z,164178,11102,391,vJwG3vaue-E
69,Exploring Mahabaleshwar ft. Aai & Baba,2022-12-01T05:59:19Z,75520,6138,291,qFIHeoFXsbE
70,Early Morning Push Day,2022-11-28T05:57:33Z,163538,9988,348,jJ_87CDdWgs
71,BACK AT THE GYM! Quick Grocery Haul + Leg Day Commentary,2022-11-22T05:59:26Z,105464,7970,224,njZXOO4EI7U
72,5 BACK Training Mistakes I Made As A Beginner,2022-11-19T06:51:13Z,662660,45062,997,JXpWIX5uw0w
73,Infected,2022-11-15T05:59:30Z,74612,7399,288,M9sRmp84Hoo
74,Raw Leg Day,2022-11-12T05:58:28Z,134839,9490,400,y46tDIGWjo4
75,275kg Deadlift PR,2022-11-08T05:59:25Z,232610,16538,661,6zvL1HVxUAE
76,Why @mannulifts Started Powerlifting | Back & Biceps Motivation,2022-11-05T05:59:08Z,121485,8366,401,mLKuuaM8Gk0
77,Training At Home,2022-11-02T06:17:53Z,82607,7482,289,BuZ5J7s7VsM
78,Post-Diwali Chest Workout,2022-10-30T05:29:17Z,97032,7411,272,0Pe5YA2a6dI
79,High Volume Back & Biceps,2022-10-28T05:59:33Z,203791,12896,360,ISRnzmC7ce8
80,My Push Workout,2022-10-22T06:03:18Z,204967,10851,507,PHon_cvvUiA
81,Chest Day,2022-10-19T11:30:05Z,103912,8223,307,Mh7VlbRWY-4
82,Rebuilding,2022-10-16T06:02:21Z,115781,8667,513,A_eSsWs_WJk
83,Welcome to Hanoi 🇻🇳,2022-10-06T06:00:22Z,115965,9393,261,UBhXK44Qizk
84,Sunday Chest Day,2022-09-29T06:00:21Z,118649,9115,289,eejCyi3LLnE
85,We're flying out of India again,2022-09-27T05:30:22Z,83114,7461,1130,OYO3RGzXmw0
86,Strength & Aesthetics,2022-09-24T06:52:47Z,114978,9893,448,AB0rZq8RTsY
87,Destroying Back & Biceps,2022-09-17T10:15:24Z,164494,11785,471,WhbKriNImn8
88,Back Where It All Began! Road to 2M,2022-09-14T06:00:04Z,103864,9533,254,r562OLnp3sc
89,One Million Subscribers!,2022-09-11T07:32:08Z,218471,27686,2564,sb8OO9WoR8I
90,Push Day | Countdown To 1M,2022-09-10T05:41:01Z,115007,10456,619,Uco1NN5lc3s
91,Solo Pull Day,2022-09-02T06:06:50Z,149547,11590,454,MFOsWunLVJI
92,Aesthetics Over Everything,2022-08-26T06:04:30Z,150286,11824,511,3IAfV4dmX3o
93,A Successful Off-Season,2022-08-20T06:45:29Z,96802,8451,326,Urk1YR5CL5U
94,Back & Biceps w/ @SiddhantRaiSikand,2022-08-17T06:52:44Z,171698,11749,240,cpxpwp-43xI
95,The Return,2022-08-13T07:03:27Z,129073,10572,438,oOAuMgZHN5k
96,Legs & Shoulders,2022-08-05T05:36:55Z,146178,9655,363,GUqeYcAmL5w
97,TRAINING CHEST & SHOULDERS | Delhi 02,2022-07-24T06:00:04Z,142457,11383,391,rcQfvb5m2Uo
98,TRAINING BACK & BICEPS | Delhi 01,2022-07-20T06:00:00Z,261353,17190,381,5W31YgVpkF0
99,Getting stronger,2022-07-16T06:02:42Z,119281,11249,546,z3NzUZC-4gw
100,Exam Day,2022-07-12T05:33:12Z,101479,8935,351,YQ0TUD5N5Bs
101,Push day,2022-07-06T06:16:21Z,194611,14962,613,m-3WnqF0CVQ
102,The city of dreams,2022-07-03T05:36:29Z,115052,12318,437,jSOcQINajGM
103,My biggest physique yet,2022-06-27T09:21:21Z,168544,13010,449,HdFNf46qJCA
104,Expanding our business,2022-06-23T05:56:54Z,178026,13518,591,J3deOdbR2hQ
105,Dreams do come true,2022-06-16T06:01:23Z,321533,21495,706,iReXTkZ4X_Q
106,Destroying Legs | Cricket 1v1 @AryanKhannayt,2022-06-04T06:00:55Z,159595,10290,352,uHvOQbRvAb0
107,The Bali Vlog: Day 4,2022-06-01T05:57:52Z,148153,9301,304,gEvqzPSU-pI
108,The Bali Vlog: Day 3,2022-05-28T06:07:37Z,162838,11463,334,foxOuZv6vIc
109,The Bali Vlog: Day 2,2022-05-27T07:40:43Z,291368,15746,396,bppugXkH0Zo
110,OUR FIRST INTERNATIONAL TRIP!! The Bali Vlog: Day 1,2022-05-26T05:59:27Z,288956,16086,472,BN7s3eUSc3k
111,The Last Workout in India,2022-05-25T05:59:57Z,134123,12389,478,-hLck-iA3aU
112,Full Chest Day,2022-05-17T06:00:05Z,176346,14680,513,TbPVBsojjH8
113,Opening Up,2022-05-14T07:29:32Z,113373,11951,590,TlMlC3VJWDM
114,SQUATTING AGAIN | 1v1 BADMINTON,2022-05-05T06:00:28Z,101273,8273,808,GkBGuRpYcW8
115,Calisthenics Gains | Luxurious Cardio Session,2022-04-29T06:00:06Z,144799,11021,387,JHJcnxuP5F0
116,Chest & Back | New House Tour,2022-04-27T06:00:11Z,191851,11483,360,ohFT0N4NSSs
117,Back on the grind,2022-04-25T06:00:06Z,113372,9972,1004,FYLbngVL5KA
118,The Kasol Vlog,2022-04-15T07:15:50Z,128413,9186,299,Vra5sPFqxhI
119,24 Hours to Kasol,2022-04-13T06:00:12Z,166663,11273,304,ZpOvCo9rMgA
120,Full SHOULDER & ARM Workout w/ @SiddhantRaiSikand @skipper4366,2022-04-08T08:10:34Z,160083,9777,309,aC6re4d0FdI
121,Intense CHEST & BACK Workout w/ @SiddhantRaiSikand & @skipper4366,2022-04-01T05:29:43Z,267291,15425,526,vRzWV2sfaM0
122,HE'S HERE @SiddhantRaiSikand,2022-03-26T08:30:55Z,117434,9412,234,lbCXv6dHdR8
123,INTENSE PUSH DAY | A Day in the Life 2 @AryanKhannayt,2022-03-23T05:59:49Z,136263,9072,334,nLbSHMQIZ3I
124,"Crossing 9,00,000 Subscribers!",2022-03-20T08:30:07Z,100936,11243,548,gBhEMV1iqW0
125,A Day in the Life @AryanKhannayt,2022-03-16T06:00:10Z,242317,15349,517,OzY0ZUeOtl8
126,5 Bulking Tips for ‘HARDGAINERS’ To Build MUSCLE,2022-03-14T08:30:13Z,325802,29037,873,vqTPbSIBo5k
127,HEAVY INCLINE DUMBBELL SESSION @AryanKhannayt,2022-03-10T08:30:08Z,144457,9812,336,oMnjwK91eNo
128,MY OFF-SEASON STARTING POINT,2022-03-07T08:40:03Z,141626,11519,396,VH_0pR4JAbo
129,THE OFF-SEASON BEGINS,2022-03-04T08:30:03Z,150937,11961,333,N3aBnQWpD3c
130,The Delhi Vlog: Day 3,2022-03-01T08:30:05Z,605606,24067,628,kgDI5ynNFpQ
131,The Delhi Vlog: Day 2,2022-02-27T08:30:02Z,237338,15103,404,G_ayOd459TE
132,The Delhi Vlog: Day 1,2022-02-25T08:30:00Z,481522,25031,601,a6y2U2WUNCU
133,Upper Body Workout,2022-02-20T06:00:08Z,149210,10565,326,UChHHRS-Etc
134,Therapy,2022-02-18T08:41:55Z,133938,10352,276,I-k4c6jPsMo
135,"My PULL Workout (2022): Back, Rear Delts & Biceps",2022-02-17T09:46:46Z,785259,38385,1117,cUgCrWxOde0
136,"My LEG Workout (2022): Quads, Hamstrings & Calves",2022-02-14T08:41:48Z,565671,31601,778,TwMptdKRspI
